,0
728,0.0
729,0.035714287
730,0.0
731,0.0
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.035714287
739,0.0
740,0.035714287
741,0.035714287
742,0.0
743,0.0
744,0.0
745,0.035714287
746,0.035714287
747,0.10714286
748,0.0
749,0.035714287
750,0.10714286
751,0.0
752,0.0
753,0.035714287
754,0.0
755,0.0
756,0.25
757,0.0
758,0.0
759,0.14285715
760,0.035714287
761,0.071428575
762,0.0
763,0.10714286
764,0.10714286
765,0.035714287
766,0.0
767,0.0
768,0.071428575
769,0.75
770,0.035714287
771,0.4814481
772,0.035714287
773,0.35714287
774,0.10714286
775,0.10714286
776,0.42857143
777,1.0357143
778,0.4642857
779,3.2142856
780,0.10714286
781,0.71428573
782,0.42857143
783,0.5
784,0.035714287
785,0.2857143
786,1.0714285
787,0.14285715
788,0.10714286
789,1.25
790,0.2857143
791,0.10714286
792,1.7857143
793,0.85714287
794,0.42857143
795,0.96428573
796,1.2142857
797,4.464286
798,0.35714287
799,0.39285713
800,1.5357143
801,0.39285713
802,0.14285715
803,0.14285715
804,1.6127986
805,3.392857
806,0.2857143
807,3.0
808,0.035714287
809,0.32142857
810,0.42857143
811,0.60714287
812,0.035714287
813,0.0
814,0.035714287
815,0.42857143
816,0.071428575
817,0.0
818,0.32142857
819,0.25
820,0.10714286
821,0.0
822,0.14285715
823,0.32142857
824,0.0
825,0.25
826,0.0
827,0.0
828,0.035714287
829,0.0
830,0.0
831,0.071428575
832,0.0
833,0.10714286
834,0.0
835,0.14285715
836,0.0
837,0.0
838,0.0
839,0.0
840,0.5714286
841,0.0
842,0.0
843,0.21428572
844,0.0
845,0.035714287
846,0.0
847,0.0
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,0.0
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.42857143
865,0.64285713
866,1.1785715
867,0.71428573
868,0.17857143
869,2.392857
870,0.21428572
871,0.89285713
872,0.14285715
873,0.8214286
874,0.071428575
875,0.14285715
876,4.035714
877,0.4642857
878,0.071428575
879,2.107143
880,0.35714287
881,0.14285715
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.035714287
888,0.0
889,0.0
890,0.0
891,0.0
892,0.035714287
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.035714287
899,0.0
900,0.0
901,0.0
902,0.0
903,0.0
904,0.0
905,0.071428575
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.035714287
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.4642857
919,0.42857143
920,1.7857143
921,1.2142857
922,0.21428572
923,1.3571428
924,0.2857143
925,1.3214285
926,0.4642857
927,0.32142857
928,0.035714287
929,0.2857143
930,0.85714287
931,1.1428572
932,0.39285713
933,1.2142857
934,0.21428572
935,0.10714286
936,0.10714286
937,0.035714287
938,0.42857143
939,0.39285713
940,0.35714287
941,1.7142857
942,0.21428572
943,0.17857143
944,0.035714287
945,0.39285713
946,0.035714287
947,0.035714287
948,2.1785715
949,0.14285715
950,0.10714286
951,1.8571428
952,0.35714287
